date,CTRP
2013-02-19,19
2013-02-20,11
2013-02-21,19
2013-02-22,47
2013-02-23,0
2013-02-24,27
2013-02-25,11
2013-02-26,11
2013-02-27,11
2013-02-28,0
2013-03-01,16
2013-03-02,13
2013-03-03,13
2013-03-04,23
2013-03-05,23
2013-03-06,23
2013-03-07,11
2013-03-08,0
2013-03-09,13
2013-03-10,13
2013-03-11,11
2013-03-12,22
2013-03-13,11
2013-03-14,11
2013-03-15,16
2013-03-16,13
2013-03-17,13
2013-03-18,11
2013-03-19,33
2013-03-20,17
2013-03-21,0
2013-03-22,24
2013-03-23,27
2013-03-24,0
2013-03-25,23
2013-03-26,11
2013-03-27,12
2013-03-28,36
2013-03-29,13
2013-03-30,0
2013-03-31,14
2013-04-01,47
2013-04-02,22
2013-04-03,11
2013-04-04,17
2013-04-05,35
2013-04-06,13
2013-04-07,13
2013-04-08,11
2013-04-09,11
2013-04-10,11
2013-04-11,34
2013-04-12,17
2013-04-13,20
2013-04-14,13
2013-04-15,11
2013-04-16,22
2013-04-17,22
2013-04-18,11
2013-04-19,12
2013-04-20,0
2013-04-21,20
2013-04-22,19
2013-04-23,33
2013-04-24,22
2013-04-25,23
2013-04-26,29
2013-04-27,14
2013-04-28,0
2013-04-29,17
2013-04-30,23
2013-05-01,24
2013-05-02,11
2013-05-03,24
2013-05-04,14
2013-05-05,0
2013-05-06,11
2013-05-07,22
2013-05-08,34
2013-05-09,31
2013-05-10,16
2013-05-11,14
2013-05-12,13
2013-05-13,28
2013-05-14,22
2013-05-15,29
2013-05-16,45
2013-05-17,23
2013-05-18,14
2013-05-19,0
2013-05-20,17
2013-05-21,18
2013-05-22,33
2013-05-23,22
2013-05-24,12
2013-05-25,13
2013-05-26,13
2013-05-27,11
2013-05-28,11
2013-05-29,11
2013-05-30,17
2013-05-31,23
2013-06-01,13
2013-06-02,0
2013-06-03,44
2013-06-04,33
2013-06-05,22
2013-06-06,19
2013-06-07,16
2013-06-08,27
2013-06-09,13
2013-06-10,18
2013-06-11,16
2013-06-12,11
2013-06-13,23
2013-06-14,18
2013-06-15,14
2013-06-16,0
2013-06-17,22
2013-06-18,11
2013-06-19,17
2013-06-20,11
2013-06-21,12
2013-06-22,14
2013-06-23,20
2013-06-24,33
2013-06-25,22
2013-06-26,15
2013-06-27,15
2013-06-28,35
2013-06-29,14
2013-06-30,0
2013-07-01,11
2013-07-02,0
2013-07-03,11
2013-07-04,24
2013-07-05,25
2013-07-06,14
2013-07-07,14
2013-07-08,23
2013-07-09,26
2013-07-10,15
2013-07-11,27
2013-07-12,24
2013-07-13,56
2013-07-14,0
2013-07-15,19
2013-07-16,30
2013-07-17,19
2013-07-18,0
2013-07-19,48
2013-07-20,28
2013-07-21,0
2013-07-22,19
2013-07-23,11
2013-07-24,34
2013-07-25,23
2013-07-26,36
2013-07-27,14
2013-07-28,14
2013-07-29,0
2013-07-30,34
2013-07-31,38
2013-08-01,100
2013-08-02,18
2013-08-03,21
2013-08-04,14
2013-08-05,30
2013-08-06,30
2013-08-07,23
2013-08-08,35
2013-08-09,32
2013-08-10,14
2013-08-11,14
2013-08-12,38
2013-08-13,17
2013-08-14,27
2013-08-15,20
2013-08-16,36
2013-08-17,14
2013-08-18,27
2013-08-19,26
2013-08-20,22
2013-08-21,26
2013-08-22,19
2013-08-23,47
2013-08-24,14
2013-08-25,13
2013-08-26,15
2013-08-27,32
2013-08-28,27
2013-08-29,22
2013-08-30,23
2013-08-31,13
2013-09-01,13
2013-09-02,17
2013-09-03,21
2013-09-04,11
2013-09-05,33
2013-09-06,26
2013-09-07,13
2013-09-08,25
2013-09-09,16
2013-09-10,37
2013-09-11,42
2013-09-12,11
2013-09-13,28
2013-09-14,0
2013-09-15,12
2013-09-16,28
2013-09-17,21
2013-09-18,28
2013-09-19,32
2013-09-20,22
2013-09-21,13
2013-09-22,12
2013-09-23,21
2013-09-24,16
2013-09-25,75
2013-09-26,29
2013-09-27,30
2013-09-28,21
2013-09-29,25
2013-09-30,25
2013-10-01,26
2013-10-02,26
2013-10-03,29
2013-10-04,33
2013-10-05,21
2013-10-06,12
2013-10-07,24
2013-10-08,39
2013-10-09,43
2013-10-10,36
2013-10-11,22
2013-10-12,13
2013-10-13,0
2013-10-14,11
2013-10-15,21
2013-10-16,18
2013-10-17,32
2013-10-18,26
2013-10-19,13
2013-10-20,12
2013-10-21,10
2013-10-22,21
2013-10-23,17
2013-10-24,25
2013-10-25,16
2013-10-26,19
2013-10-27,24
2013-10-28,21
2013-10-29,24
2013-10-30,21
2013-10-31,32
2013-11-01,23
2013-11-02,19
2013-11-03,18
2013-11-04,21
2013-11-05,55
2013-11-06,69
