date,VRSK
2014-07-24,0
2014-07-25,100
2014-07-26,58
2014-07-27,0
2014-07-28,24
2014-07-29,48
2014-07-30,36
2014-07-31,72
2014-08-01,25
2014-08-02,0
2014-08-03,0
2014-08-04,23
2014-08-05,47
2014-08-06,59
2014-08-07,34
2014-08-08,50
2014-08-09,0
2014-08-10,29
2014-08-11,0
2014-08-12,34
2014-08-13,23
2014-08-14,0
2014-08-15,51
2014-08-16,57
2014-08-17,0
2014-08-18,35
2014-08-19,46
2014-08-20,23
2014-08-21,47
2014-08-22,24
2014-08-23,28
2014-08-24,28
2014-08-25,23
2014-08-26,23
2014-08-27,23
2014-08-28,23
2014-08-29,24
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,22
2014-09-03,33
2014-09-04,45
2014-09-05,47
2014-09-06,0
2014-09-07,26
2014-09-08,44
2014-09-09,43
2014-09-10,33
2014-09-11,67
2014-09-12,46
2014-09-13,53
2014-09-14,26
2014-09-15,66
2014-09-16,22
2014-09-17,66
2014-09-18,33
2014-09-19,46
2014-09-20,27
2014-09-21,26
2014-09-22,33
2014-09-23,22
2014-09-24,44
2014-09-25,45
2014-09-26,23
2014-09-27,27
2014-09-28,0
2014-09-29,33
2014-09-30,0
2014-10-01,44
2014-10-02,22
2014-10-03,71
2014-10-04,0
2014-10-05,0
2014-10-06,43
2014-10-07,65
2014-10-08,0
2014-10-09,0
2014-10-10,46
2014-10-11,52
2014-10-12,26
2014-10-13,21
2014-10-14,0
2014-10-15,21
2014-10-16,22
2014-10-17,23
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,21
2014-10-22,43
2014-10-23,22
2014-10-24,23
2014-10-25,0
2014-10-26,0
2014-10-27,21
2014-10-28,21
2014-10-29,64
2014-10-30,43
2014-10-31,23
2014-11-01,26
2014-11-02,0
2014-11-03,43
2014-11-04,0
2014-11-05,43
2014-11-06,43
2014-11-07,45
2014-11-08,0
2014-11-09,0
2014-11-10,64
2014-11-11,64
2014-11-12,42
2014-11-13,21
2014-11-14,22
2014-11-15,0
2014-11-16,0
2014-11-17,42
2014-11-18,0
2014-11-19,44
2014-11-20,32
2014-11-21,44
2014-11-22,0
2014-11-23,0
2014-11-24,21
2014-11-25,0
2014-11-26,21
2014-11-27,0
2014-11-28,22
2014-11-29,25
2014-11-30,0
2014-12-01,20
2014-12-02,42
2014-12-03,0
2014-12-04,21
2014-12-05,22
2014-12-06,0
2014-12-07,25
2014-12-08,0
2014-12-09,0
2014-12-10,42
2014-12-11,22
2014-12-12,0
2014-12-13,0
2014-12-14,0
2014-12-15,21
2014-12-16,21
2014-12-17,43
2014-12-18,22
2014-12-19,0
2014-12-20,0
2014-12-21,0
2014-12-22,0
2014-12-23,23
2014-12-24,0
2014-12-25,28
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,0
2014-12-30,0
2014-12-31,0
2015-01-01,27
2015-01-02,23
2015-01-03,0
2015-01-04,0
2015-01-05,21
2015-01-06,21
2015-01-07,20
2015-01-08,0
2015-01-09,21
2015-01-10,0
2015-01-11,0
2015-01-12,20
2015-01-13,20
2015-01-14,20
2015-01-15,0
2015-01-16,42
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,20
2015-01-22,20
2015-01-23,0
2015-01-24,0
2015-01-25,0
2015-01-26,0
2015-01-27,20
2015-01-28,20
2015-01-29,20
2015-01-30,21
2015-01-31,0
2015-02-01,0
2015-02-02,0
2015-02-03,20
2015-02-04,0
2015-02-05,30
2015-02-06,42
2015-02-07,0
2015-02-08,0
2015-02-09,30
2015-02-10,0
2015-02-11,20
2015-02-12,20
2015-02-13,42
2015-02-14,0
2015-02-15,0
2015-02-16,21
2015-02-17,31
2015-02-18,40
2015-02-19,20
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,20
2015-02-24,20
2015-02-25,90
2015-02-26,61
2015-02-27,31
2015-02-28,0
2015-03-01,23
2015-03-02,0
2015-03-03,39
2015-03-04,20
2015-03-05,40
2015-03-06,83
2015-03-07,0
2015-03-08,23
2015-03-09,20
2015-03-10,79
2015-03-11,49
2015-03-12,20
2015-03-13,21
2015-03-14,0
2015-03-15,0
2015-03-16,79
2015-03-17,40
2015-03-18,20
2015-03-19,40
2015-03-20,0
2015-03-21,0
2015-03-22,0
2015-03-23,20
2015-03-24,20
2015-03-25,0
2015-03-26,0
2015-03-27,0
2015-03-28,25
2015-03-29,24
2015-03-30,30
2015-03-31,20
2015-04-01,20
2015-04-02,43
2015-04-03,23
2015-04-04,0
2015-04-05,50
2015-04-06,21
2015-04-07,20
2015-04-08,50
2015-04-09,41
2015-04-10,0
